UNIDADE,FONTE,PEDIDO,TICKET,SETOR RESPONSÁVEL,SITUAÇÃO,ORÇAMENTO,APROVADO?,REALIZADO?,OBSERVAÇÕES
APOGEU CIDADE ALTA,MANUTENÇÃO,"Balde 20l rende muito branco neve        10
Lata de 18 litros cinza elefante fosco total        05
Galão de 3,6 litros esmalte azul Del Rey (suvinil) acetinado - base d'agua        03
Saco de Gesso - 25 kg        01
Lona preta - metros quadrados        40
Lixa de parede grão 150        30
Rolo de fita crepe larga 4.8 cm x 50 m        10
Rolo de fita crepe larga 2.4 cm x 50 m        10
Massa Corrida 25 Kg        01
Massa Acrílica 25 Kg        01
Thinner - 5 litros        02
Saco de estopa grande - Kg        02
Galão de 3,6 litros esmalte branco (suvinil) acetinado - base d'agua        02
Galão de 3,6 litros esmalte Gelatina Tutti fruit (suvinil) acetinado - base d'agua        02
Galão de 3,6 litros esmalte Caqui (suvinil) acetinado - base d'agua        02
Nova Cor Piso Ultra verde 18 L Sherwin-william        01
Rolo espuma Anti gota 23 cm ATLAS REFERENCIA 321/10        02
Rolo espuma Anti gota 9 cm ATLAS REFERENCIA 328/9        02
Rolo de lã media - 23 cm /Atlas 228/22        02
Trincha Média Latex e Acrilica 2 PolegadaATLAS REFERENCIA AT395/4        02
Trincha Média Latex e Acrilica 3 1/2 polegadaATLAS REFRENCIA AT395/9        02

Pedido inicial para a pintura da Unidade Apogeu CA. O pedido complementar será feito após o levantamento de material por parte da empresa contratada. 
",163902,COMPRAS,Em Andamento,,,,
SÁ PEREIRA MATRIZ,UNIDADE,Mesa de Ping-Pong Klopf 1084	2,156531,COMPRAS,Resolvido,"R$ 4.876,00",SIM,SIM,
APOGEU CIDADE ALTA,MANUTENÇÃO,"Confecção de dois portões em alumínio ripado, na cor preta, abertura para fora - necessário ser estruturado, trinco Ferrolho. ",165378,COMPRAS,Em Andamento,,,,
APOGEU CIDADE ALTA,UNIDADE,Tela de proteção para escada externa de 3 andares,165578,COMPRAS,Em Andamento,,,,
APOGEU FERREIRA GUIMARÃES,MANUTENÇÃO,"Confecção de um armário com porta em alumínio cor crua ? duas folhas ?sem prateleira - embaixo das duas pias no refeitório das crianças.
Armário 1: altura 73 cm por 91 cm de largura
Armário 2: altura 46 cm e largura de 88,5 cm",165455,COMPRAS,Em Andamento,,,,
CUBO BARRA GOLF,UNIDADE,carrinho carregador de chromebook,157112,COMPRAS,Em Andamento,,,,
CUBO BOTAFOGO,UNIDADE,FUTMESA,166029,COMPRAS,Em Andamento,,,,
GLOBAL TREE  PENÍNSULA,UNIDADE,4 Estante Armário Aço 40cm Multiuso 6 Bandejas Cinza Até 180kg,163481,COMPRAS,Em Andamento,,,,
SÁ PEREIRA MATRIZ,UNIDADE,mesa para guilhotina de papel A3,166899,COMPRAS,Em Andamento,,,,
SARAH DAWSEY JF,UNIDADE, Compra de futmesa Personalizada,150684,COMPRAS,Resolvido,"R$ 5.030,40",SIM,SIM,
RAIZ SEDE,TI,"MacBook Pro de 14 polegadas Preto-espacial com chip M5 Memória unificada de 16 GB Tela-padrão USB-C de 70W	1
Notebook Dell 14 - i7, 16GB de RAM, 512GB de SSD	1",167955,COMPRAS,Em Andamento,,,,
LEO ALFA,UNIDADE,Mesa Refeitório 6 lugares com bancos giratórios acoplados na cor cinza	2,168335,COMPRAS,Em Andamento,,,,
MATRIZ MADUREIRA,UNIDADE,QUADRO DE CORTIÇA	2,166647,COMPRAS,Em Andamento,,,,
APOGEU FERREIRA GUIMARÃES,MANUTENÇÃO,Confecção de Escada Biblioteca,166074,COMPRAS,Em Andamento,,,,
SÁ PEREIRA MATRIZ,TI,"Notebook i3, 8gb RAM, SSD 256GB",168772,COMPRAS,Em Andamento,,,,
